w_ang,w_unc,w_vel,lr,bigru_layers,bigru_hidden,att_heads,early_stop_epoch,val_loss,test_loss,timestamp
1.0,0.05,0.01,0.0008,2,256,4,34,-0.0355,-0.0168,2025-09-26 00:39:45
1.0,0.05,0.01,0.0005,2,256,4,57,-0.0523,-0.0145,2025-09-26 00:40:15
1.0,0.05,0.05,0.001,2,256,4,39,-0.0395,-0.0157,2025-09-26 00:40:36
1.0,0.05,0.05,0.0008,2,256,4,55,-0.0498,-0.0283,2025-09-26 00:41:05
1.0,0.05,0.05,0.0005,2,256,4,41,-0.0357,-0.0142,2025-09-26 00:41:27
1.0,0.05,0.1,0.001,2,256,4,66,-0.0538,-0.0378,2025-09-26 00:42:02
1.0,0.05,0.1,0.0008,2,256,4,28,-0.0203,0.0043,2025-09-26 00:42:18
1.0,0.05,0.1,0.0005,2,256,4,36,-0.0326,-0.0169,2025-09-26 00:42:37
1.0,0.1,0.0,0.001,2,256,4,56,-0.1107,-0.0771,2025-09-26 00:43:09
1.0,0.1,0.0,0.0008,2,256,4,64,-0.1136,-0.0696,2025-09-26 00:43:43
1.0,0.1,0.0,0.0005,2,256,4,53,-0.1032,-0.0801,2025-09-26 00:44:11
1.0,0.1,0.01,0.001,2,256,4,28,-0.0543,-0.0171,2025-09-26 00:44:27
1.0,0.1,0.01,0.0008,2,256,4,28,-0.0662,-0.0214,2025-09-26 00:44:43
1.0,0.1,0.01,0.0005,2,256,4,41,-0.1115,-0.0817,2025-09-26 00:45:04
1.0,0.1,0.05,0.001,2,256,4,55,-0.1032,-0.0790,2025-09-26 00:45:32
1.0,0.1,0.05,0.0008,2,256,4,None,-0.1421,-0.1040,2025-09-26 00:46:16
1.0,0.1,0.05,0.0005,2,256,4,53,-0.1093,-0.0888,2025-09-26 00:46:46
1.0,0.1,0.1,0.001,2,256,4,39,-0.1057,-0.0854,2025-09-26 00:47:09
1.0,0.1,0.1,0.0008,2,256,4,52,-0.1210,-0.0602,2025-09-26 00:47:40
1.0,0.1,0.1,0.0005,2,256,4,38,-0.1059,-0.0974,2025-09-26 00:48:03
1.0,0.2,0.0,0.001,2,256,4,54,-0.2384,-0.1708,2025-09-26 00:48:32
1.0,0.2,0.0,0.0008,2,256,4,72,-0.2660,-0.2465,2025-09-26 00:49:10
1.0,0.2,0.0,0.0005,2,256,4,46,-0.2491,-0.2075,2025-09-26 00:49:34
1.0,0.2,0.01,0.001,2,256,4,67,-0.2595,-0.2116,2025-09-26 00:50:11
1.0,0.2,0.01,0.0008,2,256,4,43,-0.2188,-0.1588,2025-09-26 00:50:35
1.0,0.2,0.01,0.0005,2,256,4,30,-0.2048,-0.1366,2025-09-26 00:50:52
1.0,0.2,0.05,0.001,2,256,4,51,-0.2246,-0.1470,2025-09-26 00:51:22
1.0,0.2,0.05,0.0008,2,256,4,41,-0.2133,-0.1549,2025-09-26 00:51:44
1.0,0.2,0.05,0.0005,2,256,4,49,-0.2472,-0.1507,2025-09-26 00:52:10
1.0,0.2,0.1,0.001,2,256,4,50,-0.2113,-0.1187,2025-09-26 00:52:37
1.0,0.2,0.1,0.0008,2,256,4,35,-0.2101,-0.1369,2025-09-26 00:52:57
1.0,0.2,0.1,0.0005,2,256,4,71,-0.3102,-0.2812,2025-09-26 00:53:36
2.0,0.0,0.0,0.001,2,256,4,41,0.0570,0.0690,2025-09-26 00:53:58
2.0,0.0,0.0,0.0008,2,256,4,65,0.0428,0.0452,2025-09-26 00:54:32
2.0,0.0,0.0,0.0005,2,256,4,39,0.0585,0.1014,2025-09-26 00:54:53
2.0,0.0,0.01,0.001,2,256,4,38,0.0585,0.0773,2025-09-26 00:55:14
2.0,0.0,0.01,0.0008,2,256,4,29,0.0535,0.0619,2025-09-26 00:55:30
2.0,0.0,0.01,0.0005,2,256,4,59,0.0454,0.0566,2025-09-26 00:56:03
2.0,0.0,0.05,0.001,2,256,4,40,0.0466,0.0631,2025-09-26 00:56:26
2.0,0.0,0.05,0.0008,2,256,4,30,0.0863,0.1298,2025-09-26 00:56:43
2.0,0.0,0.05,0.0005,2,256,4,42,0.0484,0.0697,2025-09-26 00:57:05
2.0,0.0,0.1,0.001,2,256,4,61,0.0395,0.0756,2025-09-26 00:57:35
2.0,0.0,0.1,0.0008,2,256,4,31,0.0605,0.0626,2025-09-26 00:57:51
2.0,0.0,0.1,0.0005,2,256,4,69,0.0377,0.0498,2025-09-26 00:58:26
2.0,0.05,0.0,0.001,2,256,4,59,-0.0290,0.0366,2025-09-26 00:58:57
2.0,0.05,0.0,0.0008,2,256,4,51,-0.0266,0.0234,2025-09-26 00:59:24
2.0,0.05,0.0,0.0005,2,256,4,49,-0.0281,0.0169,2025-09-26 00:59:50
2.0,0.05,0.01,0.001,2,256,4,28,0.0210,0.2216,2025-09-26 01:00:06
2.0,0.05,0.01,0.0008,2,256,4,62,-0.0218,-0.0069,2025-09-26 01:00:39
2.0,0.05,0.01,0.0005,2,256,4,None,-0.0383,-0.0155,2025-09-26 01:01:21
