tcn_blocks,tcn_dilations,pooling_type,gru_layers,gru_units,aug_status,early_stop_epoch,val_loss,test_loss,timestamp
1,[2],average,2,256,False,16,515.9863,508.1666,2025-09-25 13:53:39
1,[2],average,2,256,True,32,326.3990,355.9750,2025-09-25 13:54:30
1,[2],average,3,64,False,22,510.6848,508.8093,2025-09-25 13:54:33
1,[2],average,3,64,True,24,339.5388,344.1369,2025-09-25 13:55:12
1,[2],average,3,128,False,26,513.3932,506.5374,2025-09-25 13:55:17
1,[2],average,3,128,True,18,340.4527,348.2838,2025-09-25 13:55:45
1,[2],average,3,256,False,27,512.8458,507.3470,2025-09-25 13:55:51
1,[2],average,3,256,True,31,336.3332,341.4855,2025-09-25 13:56:38
1,[2],max,1,64,False,83,56.7628,50.4360,2025-09-25 13:56:52
1,[2],max,1,64,True,96,65.8508,60.2944,2025-09-25 13:59:26
1,[2],max,1,128,False,None,45.1659,43.5790,2025-09-25 13:59:46
1,[2],max,1,128,True,45,143.7482,144.0188,2025-09-25 14:00:58
1,[2],max,1,256,False,109,44.8135,44.9653,2025-09-25 14:01:16
1,[2],max,1,256,True,107,44.7328,31.6390,2025-09-25 14:04:06
1,[2],max,2,64,False,22,510.6796,511.5241,2025-09-25 14:04:09
1,[2],max,2,64,True,22,340.7988,337.5742,2025-09-25 14:04:45
1,[2],max,2,128,False,18,511.8373,508.8516,2025-09-25 14:04:47
1,[2],max,2,128,True,18,342.1666,348.1353,2025-09-25 14:05:17
1,[2],max,2,256,False,28,511.1226,508.7378,2025-09-25 14:05:22
1,[2],max,2,256,True,20,339.0853,346.4425,2025-09-25 14:05:52
1,[2],max,3,64,False,21,511.3394,505.1781,2025-09-25 14:05:56
1,[2],max,3,64,True,28,338.9795,336.5495,2025-09-25 14:06:39
1,[2],max,3,128,False,24,514.1598,510.6970,2025-09-25 14:06:44
1,[2],max,3,128,True,24,340.0067,341.2393,2025-09-25 14:07:21
1,[2],max,3,256,False,35,510.9197,507.9321,2025-09-25 14:07:28
1,[2],max,3,256,True,17,338.1768,339.4496,2025-09-25 14:07:56
1,[4],none,1,64,False,112,42.8484,38.8921,2025-09-25 14:08:13
1,[4],none,1,64,True,97,39.0556,42.9617,2025-09-25 14:10:38
1,[4],none,1,128,False,110,35.2258,31.2990,2025-09-25 14:10:55
1,[4],none,1,128,True,None,29.9204,29.2170,2025-09-25 14:13:54
1,[4],none,1,256,False,None,44.2962,46.3056,2025-09-25 14:14:15
1,[4],none,1,256,True,None,32.2399,26.7608,2025-09-25 14:17:14
1,[4],none,2,64,False,None,75.8478,75.7407,2025-09-25 14:17:32
1,[4],none,2,64,True,22,337.0286,338.9168,2025-09-25 14:18:05
1,[4],none,2,128,False,None,132.2360,115.3783,2025-09-25 14:18:24
1,[4],none,2,128,True,None,104.2666,104.6946,2025-09-25 14:21:25
1,[4],none,2,256,False,33,512.9789,509.3484,2025-09-25 14:21:33
1,[4],none,2,256,True,30,335.4072,342.0250,2025-09-25 14:22:18
1,[4],none,3,64,False,22,513.8349,508.0502,2025-09-25 14:22:22
1,[4],none,3,64,True,36,337.8902,342.7762,2025-09-25 14:23:15
1,[4],none,3,128,False,22,514.1567,507.9876,2025-09-25 14:23:18
1,[4],none,3,128,True,31,340.8277,345.1426,2025-09-25 14:24:05
1,[4],none,3,256,False,21,511.9114,506.4288,2025-09-25 14:24:10
1,[4],none,3,256,True,21,337.8052,340.4830,2025-09-25 14:24:42
1,[4],average,1,64,False,117,49.7554,46.6714,2025-09-25 14:25:00
1,[4],average,1,64,True,None,44.1195,37.3778,2025-09-25 14:28:03
1,[4],average,1,128,False,113,43.0590,42.6607,2025-09-25 14:28:21
1,[4],average,1,128,True,49,141.9767,148.5914,2025-09-25 14:29:35
1,[4],average,1,256,False,None,41.5037,40.2254,2025-09-25 14:29:54
1,[4],average,1,256,True,21,341.9803,348.1591,2025-09-25 14:30:26
1,[4],average,2,64,False,32,513.6864,506.5778,2025-09-25 14:30:31
1,[4],average,2,64,True,None,63.0264,54.3062,2025-09-25 14:33:41
1,[4],average,2,128,False,33,512.1280,504.5455,2025-09-25 14:33:46
1,[4],average,2,128,True,34,337.2725,353.2866,2025-09-25 14:34:37
1,[4],average,2,256,False,43,512.3655,510.9431,2025-09-25 14:34:44
1,[4],average,2,256,True,18,336.6437,342.7721,2025-09-25 14:35:12
1,[4],average,3,64,False,21,514.5605,507.5990,2025-09-25 14:35:15
1,[4],average,3,64,True,23,337.9194,343.0994,2025-09-25 14:35:50
1,[4],average,3,128,False,19,513.2714,504.9464,2025-09-25 14:35:53
1,[4],average,3,128,True,20,339.8502,353.2012,2025-09-25 14:36:24
1,[4],average,3,256,False,19,513.5188,510.6572,2025-09-25 14:36:27
